time,open,high,low,close,tick_volume,spread,real_volume
2026-04-15 23:30:00+00:00,4793.69,4793.69,4790.11,4790.72,1039,36,0
2026-04-15 23:45:00+00:00,4790.73,4792.94,4787.62,4790.56,2257,43,0
2026-04-16 01:00:00+00:00,4792.78,4799.28,4790.76,4791.9,1895,30,0
2026-04-16 01:15:00+00:00,4791.85,4801.9,4791.82,4801.06,2129,46,0
2026-04-16 01:30:00+00:00,4801.1,4803.25,4799.1,4801.19,1948,46,0
2026-04-16 01:45:00+00:00,4801.2,4811.73,4800.94,4807.43,2255,30,0
2026-04-16 02:00:00+00:00,4807.37,4812.96,4807.37,4812.45,1503,30,0
2026-04-16 02:15:00+00:00,4812.5,4815.57,4812.16,4814.91,1305,30,0
2026-04-16 02:30:00+00:00,4814.86,4824.11,4814.45,4823.03,2179,30,0
2026-04-16 02:45:00+00:00,4823.0,4826.55,4821.88,4823.29,2377,30,0
2026-04-16 03:00:00+00:00,4823.04,4831.13,4823.04,4829.65,3143,30,0
2026-04-16 03:15:00+00:00,4829.64,4830.91,4822.35,4824.6,3080,31,0
2026-04-16 03:30:00+00:00,4824.56,4837.52,4820.73,4832.5,2906,30,0
2026-04-16 03:45:00+00:00,4832.58,4837.34,4830.7,4832.97,3251,46,0
2026-04-16 04:00:00+00:00,4832.89,4836.22,4828.71,4829.71,4911,34,0
2026-04-16 04:15:00+00:00,4829.66,4830.26,4822.79,4823.57,3533,30,0
2026-04-16 04:30:00+00:00,4823.55,4825.55,4811.17,4815.77,4431,30,0
2026-04-16 04:45:00+00:00,4815.81,4822.02,4815.19,4817.78,3457,30,0
2026-04-16 05:00:00+00:00,4817.79,4824.81,4817.14,4821.23,3699,46,0
2026-04-16 05:15:00+00:00,4820.97,4823.32,4818.96,4819.04,2359,30,0
2026-04-16 05:30:00+00:00,4819.06,4821.29,4812.36,4817.1,4774,30,0
2026-04-16 05:45:00+00:00,4817.19,4820.85,4815.32,4819.54,3317,30,0
2026-04-16 06:00:00+00:00,4819.32,4826.95,4818.92,4826.41,2612,46,0
2026-04-16 06:15:00+00:00,4826.4,4826.53,4822.47,4823.68,2448,46,0
2026-04-16 06:30:00+00:00,4823.72,4825.79,4818.95,4820.29,2366,30,0
2026-04-16 06:45:00+00:00,4820.28,4826.55,4820.26,4823.9,1241,39,0
2026-04-16 07:00:00+00:00,4823.79,4827.05,4823.02,4826.69,1650,34,0
2026-04-16 07:15:00+00:00,4826.83,4829.85,4825.59,4826.3,1413,30,0
2026-04-16 07:30:00+00:00,4826.28,4831.19,4825.07,4830.44,1292,30,0
2026-04-16 07:45:00+00:00,4830.4,4833.36,4829.5,4832.93,968,39,0
2026-04-16 08:00:00+00:00,4833.02,4838.2,4832.53,4834.34,2280,30,0
2026-04-16 08:15:00+00:00,4833.94,4836.11,4831.6,4833.2,1780,30,0
2026-04-16 08:30:00+00:00,4833.19,4833.71,4824.45,4825.13,4196,30,0
2026-04-16 08:45:00+00:00,4825.02,4829.28,4821.2,4821.23,3613,30,0
2026-04-16 09:00:00+00:00,4821.2,4827.59,4821.15,4822.59,3414,43,0
2026-04-16 09:15:00+00:00,4822.65,4825.14,4814.41,4815.99,4356,30,0
